X,Y,Code,Suburb,AreaKm2,Population
149.802885,-32.87909743,10001,Aarons Pass,82.7639,20
150.8612028,-33.870091,10002,Abbotsbury,4.9788,4251
151.1292403,-33.8506087,10003,Abbotsford (NSW),1.018,5377
149.5564307,-33.38997263,10004,Abercrombie,2.9775,1111
149.3476664,-33.91034447,10005,Abercrombie River,127.1701,23
151.3816781,-32.84112173,10006,Aberdare,3.2961,2471
150.8916117,-32.17382894,10007,Aberdeen (NSW),41.6327,2088
151.9786086,-30.23631938,10008,Aberfoyle,340.4792,101
151.5339348,-32.6948698,10009,Aberglasslyn,6.2155,5403
151.4372111,-32.81970594,10010,Abermain,15.3822,2336
151.4021951,-32.88753496,10011,Abernethy,8.4025,345
151.236371,-30.31807425,10012,Abington (NSW),174.3142,15
152.3190607,-28.37627271,10013,Acacia Creek,6.2123,37
150.9137106,-33.73355415,10014,Acacia Gardens,1.0013,3799
148.7863132,-36.01195983,10015,Adaminaby,356.4961,305
151.7254299,-32.93824598,10016,Adamstown,3.0711,6046
151.7106086,-32.94894401,10017,Adamstown Heights,2.394,5295
148.0697591,-35.30664707,10018,Adelong,20.2697,944
148.4403534,-35.04150099,10019,Adjungbilly,438.1006,86
152.8237873,-28.57311043,10020,Afterlee,34.7839,47
150.7024339,-33.62239849,10021,Agnes Banks,15.475,911
150.8332242,-34.08599289,10022,Airds,2.3808,2927
150.0760542,-36.34809309,10023,Akolele,5.9502,168
147.4768946,-32.3847832,10024,Albert,690.5799,82
150.7772568,-34.58225099,10025,Albion Park,9.0984,13319
150.7948766,-34.56184088,10026,Albion Park Rail,7.1682,6918
146.9134691,-36.07375583,10027,Albury,5.6834,4802
152.7620404,-31.0742362,10028,Aldavilla,15.0762,1226
148.2680142,-32.91427481,10029,Alectown,277.1442,170
151.1927828,-33.90985014,10030,Alexandria,3.5156,8264
151.0241728,-33.98672737,10031,Alfords Point,2.5665,3112
147.5414553,-35.15321646,10032,Alfredtown,75.0792,109
152.5896581,-29.05337333,10033,Alice,13.2753,6
151.3986489,-33.26817294,10034,Alison (Central Coast - NSW),1.3958,95
151.7725184,-32.42856075,10035,Alison (Dungog - NSW),19.2707,78
151.2481311,-33.76931071,10036,Allambie Heights,6.6746,7006
151.4136283,-32.72678008,10037,Allandale (NSW),10.4827,74
151.1142862,-33.97275089,10038,Allawah,0.5837,5710
147.1334935,-34.09398379,10039,Alleena,269.6334,56
152.7955156,-30.81816902,10040,Allgomera,120.3883,132
151.9450797,-32.54145834,10041,Allworth,18.2505,168
151.5484912,-32.35154187,10042,Allynbrook,34.1815,67
146.8007983,-35.60101032,10043,Alma Park,87.6845,55
150.5367955,-34.40871603,10044,Alpine,23.0329,141
153.4439806,-28.79387099,10045,Alstonvale,10.2583,441
153.4496912,-28.84056857,10046,Alstonville,28.8249,5738
152.9563483,-29.64397258,10047,Alumy Creek,9.0532,90
148.9208411,-33.16432274,10048,Amaroo (NSW),16.7796,49
150.7965561,-34.08941564,10049,Ambarvale,2.8822,7378
152.0664253,-28.62401834,10050,Amosfield,58.0043,35
141.8022936,-33.29635709,10051,Anabranch North,1661.3937,5
141.6898854,-33.71401438,10052,Anabranch South,2279.4632,36
151.495045,-32.67919995,10053,Anambah,11.5924,36
149.2942438,-36.73340184,10054,Ando,112.1626,69
149.4479646,-35.77531457,10055,Anembo,171.8203,67
149.8749627,-36.63451787,10056,Angledale,26.8133,152
147.9287491,-29.12159515,10057,Angledool,689.501,55
148.6844881,-36.01100631,10058,Anglers Reach,11.1265,90
153.3562114,-29.47301251,10059,Angourie,3.5357,219
152.0763197,-32.76628798,10060,Anna Bay,22.2502,3844
151.171369,-33.88083325,10061,Annandale (NSW),1.4931,9452
150.9475579,-33.65759176,10062,Annangrove,10.2464,1399
150.808861,-34.20853078,10063,Appin (NSW),102.0551,2633
149.7065757,-32.68048692,10064,Apple Tree Flat,17.0216,37
150.8228083,-30.96270522,10065,Appleby,18.1519,39
150.8537642,-32.51303463,10066,Appletree Flat,28.5322,13
148.9585367,-32.6132929,10067,Apsley (NSW),28.2301,108
148.9806916,-36.38259349,10068,Arable,116.3272,13
153.063079,-30.92206331,10069,Arakoon,24.794,419
149.8160154,-35.63987492,10070,Araluen (NSW),121.2736,168
145.2868643,-35.77424645,10071,Aratula (NSW),163.3813,9
151.0671141,-33.61069053,10072,Arcadia (NSW),22.4088,1384
151.5770762,-33.06004521,10073,Arcadia Vale,1.3455,1375
150.7880922,-31.72663351,10074,Ardglen,72.2728,60
151.5215159,-30.57008973,10075,Arding,54.771,206
146.8545273,-34.34357516,10076,Ardlethan,538.8726,517
148.436838,-35.29424619,10077,Argalong,132.3034,31
151.6306444,-32.93504783,10078,Argenton,1.5233,1347
152.7277388,-30.61020863,10079,Argents Hill,76.2545,219
145.6572432,-34.91798946,10080,Argoon (NSW),247.1245,17
147.197099,-34.31081196,10081,Ariah Park,489.991,492
149.3859649,-33.73577869,10082,Arkell,66.8602,45
149.6574748,-34.04052001,10083,Arkstone,79.3706,22
148.46345,-31.44798093,10084,Armatree,484.98,152
151.6677943,-30.50313191,10085,Armidale,274.5995,23348
151.1476048,-33.93935179,10086,Arncliffe,2.9429,10590
150.8829559,-33.79053801,10087,Arndell Park,2.0008,32
153.1911431,-30.05295848,10088,Arrawarra,2.818,521
153.1956703,-30.06824022,10089,Arrawarra Headland,2.6804,553
151.1860022,-33.81095335,10090,Artarmon,2.5348,9525
148.7379128,-32.55595392,10091,Arthurville,72.5398,37
143.069163,-33.61914449,10092,Arumpo,5396.4077,33
151.1188633,-33.90021723,10093,Ashbury,1.0312,3326
153.1836855,-29.44216163,10094,Ashby (NSW),14.03,329
153.1746485,-29.39582332,10095,Ashby Heights,32.3489,229
